Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %
2014-12-23 00:00:00-05:00,17971.50977,18069.2207,17970.16016,18024.16992,82890000,0,0,0.360425886
2014-12-24 00:00:00-05:00,18035.73047,18086.24023,18027.7793,18030.21094,42870000,0,0,0.033516193
2014-12-26 00:00:00-05:00,18038.30078,18103.44922,18038.30078,18053.71094,52570000,0,0,0.1303368
2014-12-29 00:00:00-05:00,18046.58008,18073.03906,18021.57031,18038.23047,53870000,0,0,-0.085746741
2014-12-30 00:00:00-05:00,18035.01953,18035.01953,17959.69922,17983.07031,47490000,0,0,-0.305795828
2014-12-31 00:00:00-05:00,17987.66016,18043.2207,17820.88086,17823.07031,82840000,0,0,-0.88972571
2015-01-02 00:00:00-05:00,17823.07031,17951.7793,17731.30078,17832.99023,76270000,0,0,0.055657761
2015-01-05 00:00:00-05:00,17821.30078,17821.30078,17475.92969,17501.65039,116160000,0,0,-1.858016179
2015-01-06 00:00:00-05:00,17504.17969,17581.05078,17262.36914,17371.64063,101870000,0,0,-0.74284289
2015-01-07 00:00:00-05:00,17374.7793,17597.08008,17374.7793,17584.51953,91030000,0,0,1.225439271
2015-01-08 00:00:00-05:00,17591.9707,17916.03906,17591.9707,17907.86914,114890000,0,0,1.838831074
2015-01-09 00:00:00-05:00,17911.01953,17915.32031,17686.08984,17737.36914,93390000,0,0,-0.952095409
2015-01-12 00:00:00-05:00,17742.05078,17793.88086,17571.58008,17640.83984,92500000,0,0,-0.544214286
2015-01-13 00:00:00-05:00,17645.01953,17923.00977,17498.23047,17613.67969,99360000,0,0,-0.15396181
2015-01-14 00:00:00-05:00,17609.06055,17609.06055,17264.90039,17427.08984,109180000,0,0,-1.059346185
2015-01-15 00:00:00-05:00,17436.30078,17517.41016,17298.03906,17320.71094,94520000,0,0,-0.610422665
2015-01-16 00:00:00-05:00,17320,17528.36914,17243.55078,17511.57031,140480000,0,0,1.101914209
2015-01-20 00:00:00-05:00,17516.96094,17588.69922,17346.73047,17515.23047,119600000,0,0,0.020901359
2015-01-21 00:00:00-05:00,17509.96094,17599.58008,17396.03906,17554.2793,95530000,0,0,0.222942131
2015-01-22 00:00:00-05:00,17557.28906,17840.89063,17482.53906,17813.98047,111980000,0,0,1.479418024
2015-01-23 00:00:00-05:00,17812.5,17812.5,17667.5293,17672.59961,97110000,0,0,-0.793651142
2015-01-26 00:00:00-05:00,17668.10938,17696.35938,17567.59961,17678.69922,87220000,0,0,0.0345145
2015-01-27 00:00:00-05:00,17638.5293,17638.5293,17288.31055,17387.21094,135940000,0,0,-1.648810683
2015-01-28 00:00:00-05:00,17402.91016,17484.41016,17189,17191.36914,115980000,0,0,-1.126355444
2015-01-29 00:00:00-05:00,17195.28906,17433.13086,17136.30078,17416.84961,111690000,0,0,1.311591107
2015-01-30 00:00:00-05:00,17416.84961,17419.90039,17156.82031,17164.94922,168560000,0,0,-1.44630284
2015-02-02 00:00:00-05:00,17169.99023,17367.67969,17037.75977,17361.03906,108090000,0,0,1.142385225
2015-02-03 00:00:00-05:00,17369.9707,17670.75977,17369.9707,17666.40039,112860000,0,0,1.758888549
2015-02-04 00:00:00-05:00,17664.99023,17782.2207,17603.21094,17673.01953,102560000,0,0,0.037467398
2015-02-05 00:00:00-05:00,17677.25977,17889.58008,17677.25977,17884.88086,79890000,0,0,1.198783987
