,Dow Jones,Dow Jones,S&P 500,S&P 500,NASDAQ,NASDAQ
,Close,Change %,Close,Change %,Close,Change %
Date,,,,,,
2023-02-08 00:00:00-05:00,33949.01172,-0.608020505,4117.859863,-1.108072448,11910.51953,-1.678009171
2023-02-09 00:00:00-05:00,33699.87891,-0.733844079,4081.5,-0.882979618,11789.58008,-1.015400317
2023-02-10 00:00:00-05:00,33869.26953,0.50264461,4090.459961,0.219526178,11718.12012,-0.606128127
2023-02-13 00:00:00-05:00,34245.92969,1.112100029,4137.290039,1.144860934,11891.79004,1.482062994
2023-02-14 00:00:00-05:00,34089.26953,-0.457456281,4136.129883,-0.028041453,11960.15039,0.574853334
2023-02-15 00:00:00-05:00,34128.05078,0.113763805,4147.600098,0.277317569,12070.58984,0.923395188
2023-02-16 00:00:00-05:00,33696.85156,-1.263474499,4090.409912,-1.378874149,11855.83008,-1.779198601
2023-02-17 00:00:00-05:00,33826.69141,0.385317434,4079.090088,-0.276740583,11787.26953,-0.578285505
2023-02-21 00:00:00-05:00,33129.58984,-2.06080327,3997.340088,-2.004123426,11492.2998,-2.502443215
2023-02-22 00:00:00-05:00,33045.08984,-0.255058998,3991.050049,-0.157355615,11507.07031,0.128525257
2023-02-23 00:00:00-05:00,33153.91016,0.329308569,4012.320068,0.532942942,11590.40039,0.724164152
2023-02-24 00:00:00-05:00,32816.92188,-1.016436009,3970.040039,-1.053755149,11394.94043,-1.686395244
2023-02-27 00:00:00-05:00,32889.08984,0.219910841,3982.23999,0.307300457,11466.98047,0.632210756
2023-02-28 00:00:00-05:00,32656.69922,-0.706588799,3970.149902,-0.303600183,11455.54004,-0.099768459
2023-03-01 00:00:00-05:00,32661.83984,0.01574141,3951.389893,-0.472526485,11379.48047,-0.663954471
2023-03-02 00:00:00-05:00,33003.57031,1.046268276,3981.350098,0.758219409,11462.98047,0.733776909
2023-03-03 00:00:00-05:00,33390.96875,1.173807663,4045.639893,1.614773716,11689.00977,1.971819611
2023-03-06 00:00:00-05:00,33431.44141,0.121208392,4048.419922,0.068716677,11675.74023,-0.113521432
2023-03-07 00:00:00-05:00,32856.46094,-1.719879385,3986.370117,-1.532691912,11530.33008,-1.245404174
2023-03-08 00:00:00-05:00,32798.39844,-0.176715624,3992.01001,0.141479401,11576,0.396085121
2023-03-09 00:00:00-05:00,32254.85938,-1.657212207,3918.320068,-1.845935787,11338.34961,-2.052957763
2023-03-10 00:00:00-05:00,31909.64063,-1.070284468,3861.590088,-1.447813846,11138.88965,-1.759162204
2023-03-13 00:00:00-04:00,31819.14063,-0.283613348,3855.76001,-0.1509761,11188.83984,0.448430651
2023-03-14 00:00:00-04:00,32155.40039,1.056784561,3919.290039,1.647665548,11428.15039,2.138832535
2023-03-15 00:00:00-04:00,31874.57031,-0.873352764,3891.929932,-0.698088357,11434.0498,0.051621775
2023-03-16 00:00:00-04:00,32246.55078,1.167013281,3960.280029,1.756200622,11717.28027,2.477079194
2023-03-17 00:00:00-04:00,31861.98047,-1.192593636,3916.639893,-1.101945731,11630.50977,-0.740534542
2023-03-20 00:00:00-04:00,32244.58008,1.200802975,3951.570068,0.891840372,11675.54004,0.387173687
2023-03-21 00:00:00-04:00,32560.59961,0.980070233,4002.870117,1.29821939,11860.11035,1.580828911
2023-03-22 00:00:00-04:00,32030.10938,-1.629239758,3936.969971,-1.646322378,11669.95996,-1.60327674
2023-03-23 00:00:00-04:00,32105.25,0.23459372,3948.719971,0.298452873,11787.40039,1.00634818
2023-03-24 00:00:00-04:00,32237.5293,0.412017651,3970.98999,0.563980725,11823.95996,0.310158042
2023-03-27 00:00:00-04:00,32432.08008,0.6034916,3977.530029,0.164695431,11768.83984,-0.46617307
2023-03-28 00:00:00-04:00,32394.25,-0.116644008,3971.27002,-0.15738435,11716.08008,-0.448300481
2023-03-29 00:00:00-04:00,32717.59961,0.998169766,4027.810059,1.423726888,11926.24023,1.793775348
2023-03-30 00:00:00-04:00,32859.03125,0.432280003,4050.830078,0.571526939,12013.46973,0.731408143
2023-03-31 00:00:00-04:00,33274.14844,1.263327529,4109.310059,1.443654247,12221.91016,1.73505602
2023-04-03 00:00:00-04:00,33601.14844,0.98274491,4124.509766,0.369884648,12189.4502,-0.26558828
2023-04-04 00:00:00-04:00,33402.37891,-0.591555767,4100.600098,-0.579697208,12126.33008,-0.517825793
2023-04-05 00:00:00-04:00,33482.71875,0.240521323,4090.379883,-0.249237053,11996.86035,-1.067674438
2023-04-06 00:00:00-04:00,33485.28906,0.007676535,4105.02002,0.357916309,12087.95996,0.759362089
2023-04-10 00:00:00-04:00,33586.51953,0.302313259,4109.109863,0.0996303,12084.36035,-0.029778469
2023-04-11 00:00:00-04:00,33684.78906,0.29258623,4108.939941,-0.004135248,12031.87988,-0.434284209
2023-04-12 00:00:00-04:00,33646.5,-0.113668702,4091.949951,-0.413488405,11929.33984,-0.852236226
2023-04-13 00:00:00-04:00,34029.69141,1.138874493,4146.220215,1.326268999,12166.26953,1.98610896
2023-04-14 00:00:00-04:00,33886.46875,-0.420875566,4137.640137,-0.206937347,12123.46973,-0.3517907
2023-04-17 00:00:00-04:00,33987.17969,0.29720104,4151.319824,0.33061569,12157.71973,0.282509882
2023-04-18 00:00:00-04:00,33976.62891,-0.031043415,4154.870117,0.08552203,12153.41016,-0.035447192
2023-04-19 00:00:00-04:00,33897.01172,-0.234329273,4154.52002,-0.0084262,12157.23047,0.031434079
2023-04-20 00:00:00-04:00,33786.62109,-0.325664769,4129.790039,-0.595254815,12059.55957,-0.803397605
2023-04-21 00:00:00-04:00,33808.96094,0.066120384,4133.52002,0.090318889,12072.45996,0.10697232
2023-04-24 00:00:00-04:00,33875.39844,0.196508553,4137.040039,0.085157917,12037.2002,-0.292067779
2023-04-25 00:00:00-04:00,33530.82813,-1.01716977,4071.629883,-1.581085888,11799.16016,-1.977536597
2023-04-26 00:00:00-04:00,33301.87109,-0.68282546,4055.98999,-0.38411872,11854.34961,0.46774052
2023-04-27 00:00:00-04:00,33826.16016,1.574353168,4135.350098,1.956614972,12142.24023,2.428565332
2023-04-28 00:00:00-04:00,34098.16016,0.80411137,4169.47998,0.825320275,12226.58008,0.694598708
2023-05-01 00:00:00-04:00,34051.69922,-0.136256435,4167.870117,-0.038610649,12212.59961,-0.114344884
2023-05-02 00:00:00-04:00,33684.53125,-1.078266216,4119.580078,-1.158626294,12080.50977,-1.081586623
2023-05-03 00:00:00-04:00,33414.23828,-0.802424611,4090.75,-0.699830506,12025.33008,-0.456766217
2023-05-04 00:00:00-04:00,33127.73828,-0.857418917,4061.219971,-0.721873233,11966.40039,-0.49004632
2023-05-05 00:00:00-04:00,33674.37891,1.650099443,4136.25,1.847475139,12235.41016,2.248042493
2023-05-08 00:00:00-04:00,33618.69141,-0.165370533,4138.120117,0.045212866,12256.91992,0.175799302
2023-05-09 00:00:00-04:00,33561.80859,-0.16919996,4119.169922,-0.457942128,12179.5498,-0.631236213
2023-05-10 00:00:00-04:00,33531.32813,-0.09081891,4137.640137,0.448396526,12306.44043,1.041833459
2023-05-11 00:00:00-04:00,33309.51172,-0.661519894,4130.620117,-0.169662399,12328.50977,0.179331595
2023-05-12 00:00:00-04:00,33300.62109,-0.02669095,4124.080078,-0.158330683,12284.74023,-0.355026942
2023-05-15 00:00:00-04:00,33348.60156,0.144082804,4136.279785,0.295816444,12365.20996,0.65503808
2023-05-16 00:00:00-04:00,33012.14063,-1.00892068,4109.899902,-0.637768337,12343.0498,-0.179213748
2023-05-17 00:00:00-04:00,33420.76953,1.237814024,4158.77002,1.189082906,12500.57031,1.276187898
2023-05-18 00:00:00-04:00,33535.91016,0.344518174,4198.049805,0.944504865,12688.83984,1.506087535
2023-05-19 00:00:00-04:00,33426.62891,-0.325863379,4191.97998,-0.144586761,12657.90039,-0.243832009
2023-05-22 00:00:00-04:00,33286.57813,-0.418979675,4192.629883,0.01550347,12720.78027,0.496763925
2023-05-23 00:00:00-04:00,33055.51172,-0.694172905,4145.580078,-1.122202675,12560.25,-1.261953041
2023-05-24 00:00:00-04:00,32799.92188,-0.773213998,4115.240234,-0.731860034,12484.16016,-0.6057988
2023-05-25 00:00:00-04:00,32764.65039,-0.107535269,4151.279785,0.875758127,12698.08984,1.713608964
2023-05-26 00:00:00-04:00,33093.33984,1.003183154,4205.450195,1.304908678,12975.69043,2.186160197
2023-05-30 00:00:00-04:00,33042.78125,-0.152775737,4205.52002,0.001660327,13017.42969,0.321672731
2023-05-31 00:00:00-04:00,32908.26953,-0.407083525,4179.830078,-0.610862421,12935.29004,-0.630997443
2023-06-01 00:00:00-04:00,33061.57031,0.46584273,4221.02002,0.985445356,13100.98047,1.280917778
2023-06-02 00:00:00-04:00,33762.76172,2.120865402,4282.370117,1.453442471,13240.76953,1.06701222
2023-06-05 00:00:00-04:00,33562.85938,-0.592079361,4273.790039,-0.200358164,13229.42969,-0.085643389
2023-06-06 00:00:00-04:00,33573.28125,0.031051809,4283.850098,0.235389631,13276.41992,0.35519471
2023-06-07 00:00:00-04:00,33665.01953,0.273247886,4267.52002,-0.38120097,13104.90039,-1.291911014
2023-06-08 00:00:00-04:00,33833.60938,0.500786413,4293.930176,0.618864261,13238.51953,1.019612028
2023-06-09 00:00:00-04:00,33876.78125,0.12760056,4298.859863,0.114805954,13259.13965,0.155758483
2023-06-12 00:00:00-04:00,34066.32813,0.559518549,4338.930176,0.932114881,13461.91992,1.529362227
2023-06-13 00:00:00-04:00,34212.12109,0.427967958,4369.009766,0.693248995,13573.32031,0.827522309
2023-06-14 00:00:00-04:00,33979.32813,-0.680440035,4372.589844,0.081942553,13626.48047,0.391651822
2023-06-15 00:00:00-04:00,34408.05859,1.2617391,4425.839844,1.217813742,13782.82031,1.147323728
2023-06-16 00:00:00-04:00,34299.12109,-0.316604611,4409.589844,-0.367161953,13689.57031,-0.676566899
2023-06-20 00:00:00-04:00,34053.87109,-0.715032899,4388.709961,-0.47351077,13667.29004,-0.162753636
2023-06-21 00:00:00-04:00,33951.51953,-0.30055779,4365.689941,-0.524528158,13502.2002,-1.20791937
2023-06-22 00:00:00-04:00,33946.71094,-0.014163118,4381.890137,0.371079841,13630.61035,0.951031346
2023-06-23 00:00:00-04:00,33727.42969,-0.645957278,4348.330078,-0.765880877,13492.51953,-1.013093447
2023-06-26 00:00:00-04:00,33714.71094,-0.037710404,4328.819824,-0.448683829,13335.78027,-1.161675234
2023-06-27 00:00:00-04:00,33926.73828,0.628886732,4378.410156,1.145585495,13555.66992,1.648869762
