Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %
2022-12-22 00:00:00-05:00,33233.35156,33233.35156,32573.42969,33027.48828,340640000,0,0,-1.045623093
2022-12-23 00:00:00-05:00,32961.05859,33226.14063,32814.01953,33203.92969,221050000,0,0,0.534225929
2022-12-27 00:00:00-05:00,33224.23047,33387.71875,33069.57813,33241.55859,246010000,0,0,0.113326665
2022-12-28 00:00:00-05:00,33264.76172,33379.55078,32869.14844,32875.71094,252260000,0,0,-1.100573113
2022-12-29 00:00:00-05:00,33021.42969,33293.42188,33020.35156,33220.80078,243060000,0,0,1.049680247
2022-12-30 00:00:00-05:00,33121.60938,33152.55078,32847.82031,33147.25,295500000,0,0,-0.221399784
2023-01-03 00:00:00-05:00,33148.89844,33387.51953,32850.57031,33136.37109,355930000,0,0,-0.032819936
2023-01-04 00:00:00-05:00,33165.14063,33409.10156,33033.48047,33269.76953,379400000,0,0,0.402574069
2023-01-05 00:00:00-05:00,33191.71875,33191.71875,32812.32813,32930.07813,337920000,0,0,-1.021021218
2023-01-06 00:00:00-05:00,33055.30078,33710.66016,32997.39063,33630.60938,360740000,0,0,2.12732945
2023-01-09 00:00:00-05:00,33664.39063,33935.10938,33487.66016,33517.64844,327840000,0,0,-0.335887275
2023-01-10 00:00:00-05:00,33516.42969,33726.53906,33421.80078,33704.10156,268260000,0,0,0.556283432
2023-01-11 00:00:00-05:00,33754.03125,33974.69141,33711.03906,33973.01172,301650000,0,0,0.79785588
2023-01-12 00:00:00-05:00,34047.85938,34292.67188,33792.10156,34189.96875,308190000,0,0,0.638615831
2023-01-13 00:00:00-05:00,34075.30859,34342.32031,33915.48828,34302.60938,274110000,0,0,0.329455186
2023-01-17 00:00:00-05:00,34222.32031,34269.96875,33860.67188,33910.85156,353050000,0,0,-1.142064174
2023-01-18 00:00:00-05:00,33948.48828,34016.53125,33269.89844,33296.96094,351670000,0,0,-1.810307311
2023-01-19 00:00:00-05:00,33171.35156,33227.48828,32982.05078,33044.55859,319770000,0,0,-0.758034177
2023-01-20 00:00:00-05:00,33073.46094,33381.94922,32948.92969,33375.48828,367330000,0,0,1.001464996
2023-01-23 00:00:00-05:00,33439.55859,33782.87891,33316.25,33629.55859,355220000,0,0,0.761248226
2023-01-24 00:00:00-05:00,33444.71875,33782.92188,33310.55859,33733.96094,299310000,0,0,0.310448154
2023-01-25 00:00:00-05:00,33538.35938,33773.08984,33273.21094,33743.83984,341720000,0,0,0.02928475
2023-01-26 00:00:00-05:00,33771.66016,33953.78906,33635.60156,33949.41016,327000000,0,0,0.609208417
2023-01-27 00:00:00-05:00,33952.92969,34164.32813,33830.85156,33978.07813,441260000,0,0,0.084443201
2023-01-30 00:00:00-05:00,33909.21094,34055.28906,33695.17969,33717.08984,343920000,0,0,-0.768107838
2023-01-31 00:00:00-05:00,33803.55859,34095.23047,33664.91016,34086.03906,360240000,0,0,1.094249891
2023-02-01 00:00:00-05:00,34039.60156,34334.69922,33581.42188,34092.96094,370120000,0,0,0.020307068
2023-02-02 00:00:00-05:00,34129.30078,34145.14063,33814.78125,34053.94141,429910000,0,0,-0.114450403
2023-02-03 00:00:00-05:00,33926.30078,34179.57813,33813.85938,33926.01172,425150000,0,0,-0.375667785
2023-02-06 00:00:00-05:00,33874.44141,33962.83984,33683.57813,33891.01953,296400000,0,0,-0.10314265
2023-02-07 00:00:00-05:00,33769.78125,34240,33634.10156,34156.69141,361620000,0,0,0.78390051
2023-02-08 00:00:00-05:00,34132.89844,34161.64844,33899.78906,33949.01172,324090000,0,0,-0.608020505
2023-02-09 00:00:00-05:00,34105.60938,34252.57031,33607.12891,33699.87891,347520000,0,0,-0.733844079
2023-02-10 00:00:00-05:00,33671.53906,33897.30859,33591.98828,33869.26953,288150000,0,0,0.50264461
2023-02-13 00:00:00-05:00,33887.39063,34249.60156,33887.39063,34245.92969,302600000,0,0,1.112100029
2023-02-14 00:00:00-05:00,34194.08984,34331.46875,33827.44922,34089.26953,288820000,0,0,-0.457456281
2023-02-15 00:00:00-05:00,34008.62891,34130.48828,33833.10156,34128.05078,267530000,0,0,0.113763805
2023-02-16 00:00:00-05:00,33992.08984,34041.16016,33686.58984,33696.85156,317530000,0,0,-1.263474499
2023-02-17 00:00:00-05:00,33677.01172,33846.64063,33517.73047,33826.69141,302900000,0,0,0.385317434
2023-02-21 00:00:00-05:00,33699.69141,33699.69141,33115.73828,33129.58984,348320000,0,0,-2.06080327
2023-02-22 00:00:00-05:00,33169.32813,33245.96875,32948.26953,33045.08984,321910000,0,0,-0.255058998
2023-02-23 00:00:00-05:00,33175.39063,33272.39844,32795.67188,33153.91016,288120000,0,0,0.329308569
2023-02-24 00:00:00-05:00,32999.19141,32999.19141,32643.48047,32816.92188,277120000,0,0,-1.016436009
2023-02-27 00:00:00-05:00,32906.16016,33189.28125,32814.17969,32889.08984,243660000,0,0,0.219910841
2023-02-28 00:00:00-05:00,32873.46875,32873.46875,32636.42969,32656.69922,303760000,0,0,-0.706588799
2023-03-01 00:00:00-05:00,32656.36914,32746.15039,32500.71094,32661.83984,292810000,0,0,0.01574141
