,Dow Jones,Dow Jones,S&P 500,S&P 500,NASDAQ,NASDAQ
,Close,Change %,Close,Change %,Close,Change %
Date,,,,,,
2015-03-09 00:00:00-04:00,17995.7207,0.778087716,2079.429932,0.394442119,4942.439941,0.305839096
2015-03-10 00:00:00-04:00,17662.93945,-1.849224354,2044.160034,-1.696133009,4859.790039,-1.672248997
2015-03-11 00:00:00-04:00,17635.39063,-0.155969669,2040.23999,-0.191767957,4849.939941,-0.202685663
2015-03-12 00:00:00-04:00,17895.2207,1.473344615,2065.949951,1.260143957,4893.290039,0.893827515
2015-03-13 00:00:00-04:00,17749.31055,-0.815358238,2053.399902,-0.607471097,4871.759766,-0.439995857
2015-03-16 00:00:00-04:00,17977.41992,1.285173159,2081.189941,1.353367117,4929.509766,1.185403279
2015-03-17 00:00:00-04:00,17849.08008,-0.713894676,2074.280029,-0.33201737,4937.430176,0.160673384
2015-03-18 00:00:00-04:00,18076.18945,1.272387003,2099.5,1.21584214,4982.830078,0.919504696
2015-03-19 00:00:00-04:00,17959.0293,-0.648146317,2089.27002,-0.487257941,4992.379883,0.191654231
2015-03-20 00:00:00-04:00,18127.65039,0.938920979,2108.100098,0.901275467,5026.419922,0.681839921
2015-03-23 00:00:00-04:00,18116.03906,-0.064053134,2104.419922,-0.174573104,5010.970215,-0.307370002
2015-03-24 00:00:00-04:00,18011.14063,-0.579036274,2091.5,-0.613942196,4994.72998,-0.324093612
2015-03-25 00:00:00-04:00,17718.53906,-1.624558758,2061.050049,-1.455890565,4876.52002,-2.366693723
2015-03-26 00:00:00-04:00,17678.23047,-0.22749389,2056.149902,-0.23775,4863.359863,-0.269867779
2015-03-27 00:00:00-04:00,17712.66016,0.194757544,2061.02002,0.236856135,4891.220215,0.572862226
2015-03-30 00:00:00-04:00,17976.31055,1.488485571,2086.23999,1.223664519,4947.439941,1.149400847
2015-03-31 00:00:00-04:00,17776.11914,-1.113640119,2067.889893,-0.879577505,4900.879883,-0.941093963
2015-04-01 00:00:00-04:00,17698.17969,-0.438450331,2059.689941,-0.396537127,4880.22998,-0.421350917
2015-04-02 00:00:00-04:00,17763.24023,0.367611517,2066.959961,0.352966696,4886.939941,0.13749272
2015-04-06 00:00:00-04:00,17880.84961,0.662094153,2080.620117,0.660881512,4917.319824,0.621654515
