date,average_sentiment,num_articles
2013-02-26,0.9999966621398926,1
2013-08-07,0.9999966621398926,1
2014-06-07,0.9999966621398926,1
2014-09-03,0.9999980330467224,1
2014-11-24,0.99998939037323,1
2014-12-03,0.9999966621398926,1
2015-04-20,0.9999966621398926,1
2015-04-22,0.9999924898147583,1
2015-09-03,0.9999831914901733,1
2015-09-29,0.9995632171630859,1
2015-11-03,0.9999974370002747,1
2016-04-22,0.9995309710502625,1
2016-06-06,0.9999239444732666,1
2016-07-11,0.9999966621398926,1
2016-08-01,0.9999610781669617,1
2016-08-22,0.9999828934669495,1
2016-08-29,0.9688640832901001,1
2016-09-06,0.999987781047821,1
2016-09-20,0.9985538721084595,1
2016-09-22,0.9996914863586426,1
2016-10-06,0.9998651146888733,1
2016-11-02,0.9999859929084778,2
2016-11-04,0.9999963045120239,2
2016-11-07,0.9999951124191284,1
2016-12-06,0.9999799728393555,1
2017-01-19,0.9999840259552002,1
2017-02-01,0.9999769330024719,2
2017-03-15,0.9998263120651245,1
2017-06-06,0.999416708946228,1
2017-06-19,0.9996373057365417,1
2017-07-12,0.9999833405017853,2
2017-07-17,0.9996774792671204,1
2017-07-19,0.9999827742576599,1
2017-08-01,0.9999926686286926,1
2018-01-15,0.9999972581863403,1
2018-01-19,0.9999890923500061,1
2018-05-15,0.9998544454574585,1
2018-05-23,0.9999861121177673,1
2018-05-29,0.9999904632568359,2
2018-06-04,0.9999475479125977,2
2018-06-06,0.9990137815475464,2
2018-06-13,0.9999979138374329,1
2018-06-22,0.9999750256538391,2
2018-07-06,0.9999799728393555,2
2018-07-17,0.9999613165855408,1
2018-07-27,0.9999907612800598,2
2018-09-05,0.9999880194664001,2
2018-09-07,0.999783456325531,2
2018-09-24,0.9999889135360718,2
2018-09-26,0.9997901916503906,2
2018-10-03,0.9999889135360718,2
2018-10-04,0.9999251961708069,1
2018-11-22,0.9999918341636658,1
2018-12-05,0.9999876618385315,2
2018-12-19,0.9904986023902893,1
2018-12-21,0.9999537467956543,1
2018-12-26,0.9999123215675354,1
2019-01-02,0.99943608045578,2
2019-01-03,0.9979797005653381,2
2019-03-12,0.8371241092681885,1
2019-04-17,0.999812662601471,1
2019-04-30,0.9995836615562439,1
2019-05-02,0.9848914742469788,2
2019-05-04,0.9394593834877014,2
2019-05-08,0.9999515414237976,1
2019-05-10,0.9999889135360718,1
2019-05-13,0.7950683832168579,1
2019-05-14,0.8815028071403503,2
2019-05-23,0.9997674226760864,2
2019-05-30,0.9999889135360718,2
2019-06-05,0.9992413520812988,2
2019-06-06,0.9999889135360718,2
2019-06-07,0.9993202090263367,1
2019-06-11,0.9980449080467224,4
2019-06-12,0.9998999834060669,2
2019-06-18,0.9999184608459473,1
2019-06-24,0.9957618415355682,4
2019-06-26,0.9999892115592957,2
2019-07-01,0.9999499320983887,2
2019-07-02,0.9999889135360718,2
2019-07-09,0.9991333484649658,2
2019-07-12,0.9803504943847656,2
2019-08-07,0.9999876618385315,1
2019-08-08,0.9827805757522583,2
2019-08-23,0.9999960660934448,1
2019-08-27,0.999900758266449,2
2019-08-30,0.9999298453330994,2
2019-09-05,0.9999889135360718,2
2019-09-25,0.9995572865009308,4
2019-10-04,0.9997209906578064,1
2019-10-15,0.9996653397878011,3
2019-10-17,0.9999560713768005,2
2019-10-31,0.9999147653579712,2
2019-11-27,0.9999354481697083,1
2019-11-28,0.9999291300773621,2
2019-12-09,0.9999889731407166,1
2019-12-10,0.9995037615299225,2
2020-01-24,0.9999154806137085,1
2020-01-29,0.6797987222671509,1
2020-02-20,0.9861456751823425,1
2020-03-15,0.9999568462371826,1
2020-04-09,0.999998152256012,2
2020-06-02,0.999966025352478,1
2020-06-05,0.9996943473815918,1
2020-06-24,0.9995612502098083,1
2020-06-26,0.9973763823509216,1
2020-07-15,0.9995986223220825,1
2020-07-23,0.9977614283561707,2
2020-09-28,0.9999920725822449,1
2020-12-20,0.9999436736106873,1
2021-01-19,0.9999734163284302,1
2021-02-19,0.9999715685844421,2
2021-03-16,0.9999827742576599,2
2021-03-24,0.9995551407337189,2
2021-04-08,0.9993495941162109,1
2021-05-06,0.9999845623970032,1
2021-07-08,0.9999443292617798,1
2021-07-29,0.9999889135360718,4
2021-08-10,0.9999364018440247,1
2021-09-12,0.9999692440032959,1
2021-09-20,0.9999911785125732,2
2021-09-29,0.9999914765357971,1
2021-09-30,0.9999894584928241,7
2021-10-01,0.9998766779899597,3
2021-11-09,0.9775547981262207,1
2021-11-18,0.9984956979751587,1
2021-12-06,0.9995645880699158,1
2021-12-07,0.9998828768730164,1
2021-12-15,0.6189322471618652,2
2021-12-17,0.999885618686676,1
2022-01-14,0.9999818801879883,2
2022-02-07,0.9999862909317017,1
2022-02-23,0.9988201856613159,1
2022-02-26,0.9999192953109741,1
2022-03-04,0.9999096393585205,1
2022-03-14,0.9999141097068787,1
2022-03-23,0.9999958872795105,1
2022-03-24,0.999932587146759,1
2022-03-31,0.9999567866325378,3
2022-04-13,0.9998618364334106,1
2022-04-21,0.9997624158859253,1
2022-04-22,0.9995577931404114,1
2022-05-21,0.9890759587287903,1
2022-05-30,0.9995333552360535,1
2022-05-31,0.9993619322776794,1
2022-06-03,0.9998641014099121,1
2022-06-11,0.9998195171356201,3
2022-06-17,0.9999184012413025,1
2022-06-28,0.7716341018676758,1
2022-06-29,0.9904895424842834,1
2022-06-30,0.9999966621398926,1
2022-07-12,0.9999911785125732,1
2022-07-13,0.9964091777801514,2
2022-07-15,0.9999477863311768,1
2022-07-19,0.9998277425765991,1
